Season,Team,Win_Pct,Off_Rating,Def_Rating,MadePlayoffs
2025-26,Detroit Pistons,0.745,116.4,108.4,1
2025-26,Cleveland Cavaliers,0.604,117.2,113.4,1
2025-26,Chicago Bulls,0.453,113.7,117.5,0
2025-26,Milwaukee Bucks,0.42,113,116.6,0
2025-26,Indiana Pacers,0.245,108.5,116.2,0
2024-25,Cleveland Cavaliers,0.78,121,111.8,1
2024-25,Indiana Pacers,0.61,115.4,113.3,1
2024-25,Milwaukee Bucks,0.585,115.1,112.7,1
2024-25,Detroit Pistons,0.537,114.6,112.5,1
2024-25,Chicago Bulls,0.476,113.2,114.8,0
2023-24,Milwaukee Bucks,0.598,117.6,115,1
2023-24,Cleveland Cavaliers,0.585,114.7,112.1,1
2023-24,Indiana Pacers,0.573,120.5,117.6,1
2023-24,Chicago Bulls,0.476,114,115.7,0
2023-24,Detroit Pistons,0.171,109,118,0
2022-23,Milwaukee Bucks,0.707,114.3,110.9,1
2022-23,Cleveland Cavaliers,0.622,115.5,109.9,1
2022-23,Chicago Bulls,0.488,112.8,111.5,0
2022-23,Indiana Pacers,0.427,113.8,117.1,0
2022-23,Detroit Pistons,0.207,109.9,117.8,0
2021-22,Milwaukee Bucks,0.622,114.3,111.1,1
2021-22,Chicago Bulls,0.561,112.7,113.2,1
2021-22,Cleveland Cavaliers,0.537,111,108.9,0
2021-22,Indiana Pacers,0.305,111.9,115.5,0
2021-22,Detroit Pistons,0.28,105.6,113.3,0
2020-21,Milwaukee Bucks,0.639,116.5,110.7,1
2020-21,Indiana Pacers,0.472,111.9,111.9,0
2020-21,Chicago Bulls,0.431,110.4,111.5,0
2020-21,Cleveland Cavaliers,0.306,105.2,113.5,0
2020-21,Detroit Pistons,0.278,107.6,112.2,0
2019-20,Milwaukee Bucks,0.767,111.9,102.5,1
2019-20,Indiana Pacers,0.616,109.5,107.5,1
2019-20,Chicago Bulls,0.338,105.8,108.9,0
2019-20,Detroit Pistons,0.303,108.8,112.3,0
2019-20,Cleveland Cavaliers,0.292,106.9,114.8,0
2018-19,Milwaukee Bucks,0.732,113.5,104.9,1
2018-19,Indiana Pacers,0.585,109.4,106,1
2018-19,Detroit Pistons,0.5,108.4,108.7,1
2018-19,Chicago Bulls,0.268,104.5,112.8,0
2018-19,Cleveland Cavaliers,0.232,106.8,116.8,0
2017-18,Cleveland Cavaliers,0.61,112,111.1,1
2017-18,Indiana Pacers,0.585,108.5,107.3,1
2017-18,Milwaukee Bucks,0.537,109,109.1,1
2017-18,Detroit Pistons,0.476,106.6,106.7,0
2017-18,Chicago Bulls,0.329,103.4,110.5,0
2016-17,Cleveland Cavaliers,0.622,112.8,109.7,1
2016-17,Indiana Pacers,0.512,107.9,108.1,1
2016-17,Milwaukee Bucks,0.512,108.5,108.7,1
2016-17,Chicago Bulls,0.5,106.5,106.2,1
2016-17,Detroit Pistons,0.451,105.3,106.7,0
