Season,Team,Win_Pct,Off_Rating,Def_Rating,ThreeP_Pct,MadePlayoffs
2025-26,Miami Heat,0.519,113.7,111.7,36.40%,1
2025-26,Orlando Magic,0.529,113.4,114.1,35.80%,1
2025-26,Atlanta Hawks,0.481,113.8,114.7,37.10%,0
2025-26,Charlotte Hornets,0.472,117.1,114.9,37.50%,0
2025-26,Washington Wizards,0.269,109.4,120.2,34.20%,0
2024-25,Orlando Magic,0.5,108.9,109.1,34.60%,1
2024-25,Atlanta Hawks,0.488,113.7,114.8,36.40%,1
2024-25,Miami Heat,0.451,112.4,112,37.00%,1
2024-25,Charlotte Hornets,0.232,106.7,115.7,35.50%,0
2024-25,Washington Wizards,0.22,105.8,118,34.80%,0
2023-24,Orlando Magic,0.573,112.9,110.8,35.20%,1
2023-24,Miami Heat,0.561,113.3,111.5,37.00%,1
2023-24,Atlanta Hawks,0.439,116.4,118.4,36.40%,0
2023-24,Charlotte Hornets,0.256,108.6,119.2,35.50%,0
2023-24,Washington Wizards,0.183,110.2,118.9,34.80%,0
2022-23,Miami Heat,0.537,112.3,112.8,34.40%,1
2022-23,Atlanta Hawks,0.5,115.5,115.4,35.20%,1
2022-23,Washington Wizards,0.427,113.7,114.9,35.60%,0
2022-23,Orlando Magic,0.415,111.3,113.7,34.60%,0
2022-23,Charlotte Hornets,0.329,108.4,114.7,33.00%,0
2021-22,Miami Heat,0.646,113,108.4,37.90%,1
2021-22,Atlanta Hawks,0.524,115.4,113.7,37.40%,1
2021-22,Charlotte Hornets,0.524,113.6,113.1,36.50%,0
2021-22,Washington Wizards,0.427,110.2,113.6,34.20%,0
2021-22,Orlando Magic,0.268,103.9,112.1,33.10%,0
2020-21,Atlanta Hawks,0.569,114.3,112.1,37.30%,1
2020-21,Miami Heat,0.556,110.6,110.7,35.80%,1
2020-21,Washington Wizards,0.472,110.7,112.3,35.10%,1
2020-21,Charlotte Hornets,0.458,110.1,112,36.90%,0
2020-21,Orlando Magic,0.292,104.6,113.9,34.30%,0
2019-20,Miami Heat,0.603,111.9,109.3,37.90%,1
2019-20,Orlando Magic,0.452,107.9,109.2,34.30%,1
2019-20,Washington Wizards,0.347,110.2,114.7,36.80%,0
2019-20,Charlotte Hornets,0.354,105.9,112.8,35.20%,0
2019-20,Atlanta Hawks,0.299,107,114.4,33.30%,0
2018-19,Orlando Magic,0.512,108.2,107.6,35.60%,1
2018-19,Charlotte Hornets,0.476,110.7,112,35.10%,0
2018-19,Miami Heat,0.476,106.7,107.1,34.90%,0
2018-19,Washington Wizards,0.39,110.2,112.9,34.10%,0
2018-19,Atlanta Hawks,0.354,107.5,113.1,35.20%,0
2017-18,Miami Heat,0.537,106.2,105.8,36.00%,1
2017-18,Washington Wizards,0.524,108.1,107.7,37.50%,1
2017-18,Charlotte Hornets,0.439,109,109,36.90%,0
2017-18,Orlando Magic,0.305,104.7,109.4,35.10%,0
2017-18,Atlanta Hawks,0.293,104.4,110.1,36.00%,0
2016-17,Washington Wizards,0.598,110.4,108.8,37.20%,1
2016-17,Atlanta Hawks,0.524,104.5,105.2,34.10%,1
2016-17,Miami Heat,0.5,107.4,106.4,36.50%,0
2016-17,Charlotte Hornets,0.439,108.4,108.4,35.10%,0
2016-17,Orlando Magic,0.354,103.7,110.3,32.80%,0
